scheme_name,amc,category,nav,nav_date,fund_manager,inception_date,aum,expense_ratio,exit_load,min_investment,returns_1y,returns_3y,returns_5y,sector_allocation,top_holdings,risk_level,source
HDFC Flexi Cap Fund - Direct Plan - Growth,HDFC Mutual Fund,Flexi Cap,868.52,23-Nov-2025,Roshi Jain,01-Jan-2013,₹57832 Cr,0.68%,Nil if redeemed after 1 year; 1% if redeemed within 1 year,₹5000,21.34%,18.76%,23.45%,"Financial Services: 28.5%; IT: 18.2%; Automobile: 8.4%; Consumer Goods: 7.3%; Healthcare: 6.8%","HDFC Bank (8.2%); ICICI Bank (6.5%); Infosys (5.8%); Reliance Industries (5.4%); TCS (4.9%); Bajaj Finance (3.7%); Axis Bank (3.2%); Maruti Suzuki (2.8%); Asian Paints (2.5%); HUL (2.3%)",Very High,Comprehensive Data
ICICI Prudential Bluechip Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Large Cap,125.43,23-Nov-2025,"Ihab Dalwai, Vaibhav Dusad",01-May-2008,₹48234 Cr,0.75%,Nil if redeemed after 365 days; 1% if redeemed within 365 days,₹5000,19.87%,16.92%,21.23%,"Financial Services: 32.1%; IT: 15.8%; Oil & Gas: 9.2%; Automobile: 7.6%; FMCG: 6.4%","HDFC Bank (9.8%); ICICI Bank (8.2%); Infosys (6.7%); Reliance Industries (6.2%); State Bank of India (4.8%); TCS (4.5%); Kotak Mahindra Bank (3.9%); Bharti Airtel (3.4%); ITC (3.1%); L&T (2.9%)",Very High,Comprehensive Data
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,186.73,23-Nov-2025,R. Srinivasan,16-Oct-2009,₹32567 Cr,0.89%,Nil if redeemed after 3 years; 1% if redeemed within 3 years,₹5000,28.45%,32.87%,38.92%,"Chemicals: 12.3%; Capital Goods: 11.8%; Healthcare: 9.7%; Consumer Discretionary: 8.9%; Automobile Ancillaries: 7.5%","Kalyan Jewellers (2.8%); Dixon Technologies (2.6%); Radico Khaitan (2.4%); Godrej Properties (2.3%); Tube Investments (2.1%); Apar Industries (2.0%); Trent Ltd (1.9%); Balkrishna Industries (1.8%); Polycab India (1.7%); Laurus Labs (1.6%)",Very High,Comprehensive Data
Axis Midcap Fund - Direct Plan - Growth,Axis Mutual Fund,Mid Cap,143.56,23-Nov-2025,"Shreyash Devalkar, Ankit Jain",01-Jan-2011,₹45892 Cr,0.72%,Nil if redeemed after 2 years; 1% if redeemed within 2 years,₹5000,24.56%,26.34%,29.78%,"Financial Services: 18.4%; Consumer Discretionary: 14.6%; Healthcare: 11.2%; IT: 10.8%; Capital Goods: 9.5%","Max Healthcare (4.2%); Persistent Systems (3.8%); Oberoi Realty (3.5%); Coforge (3.3%); Apollo Hospitals (3.1%); Federal Bank (2.9%); Trent Ltd (2.7%); Cholamandalam Finance (2.5%); Cummins India (2.4%); PI Industries (2.2%)",Very High,Comprehensive Data
Nippon India Large Cap Fund - Direct Plan - Growth,Nippon India Mutual Fund,Large Cap,74.23,23-Nov-2025,"Sailesh Raj Bhan, Kinjal Desai",08-Aug-2007,₹28945 Cr,0.81%,Nil if redeemed after 1 year; 1% if redeemed within 1 year,₹5000,20.12%,17.45%,22.34%,"Financial Services: 29.7%; IT: 17.3%; Energy: 10.4%; Automobile: 8.2%; FMCG: 7.1%","HDFC Bank (10.2%); Infosys (7.8%); ICICI Bank (7.2%); Reliance Industries (6.8%); TCS (5.9%); Bharti Airtel (4.3%); Axis Bank (3.8%); State Bank of India (3.5%); Bajaj Finance (3.2%); Larsen & Toubro (2.9%)",Very High,Comprehensive Data
Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Parag Parikh Mutual Fund,Flexi Cap,89.45,23-Nov-2025,"Rajeev Thakkar, Raunak Onkar",28-May-2013,₹72345 Cr,0.69%,Nil if redeemed after 1 year; 2% if redeemed within 1 year,₹1000,22.89%,19.67%,24.92%,"Financial Services: 24.3%; IT: 19.8%; Consumer Discretionary: 12.4%; International Equities: 30.2%; Healthcare: 5.8%","Alphabet Inc (7.8%); Microsoft Corp (6.5%); HDFC Bank (5.9%); Amazon.com (5.2%); Meta Platforms (4.8%); Infosys (4.3%); ICICI Bank (3.7%); Bajaj Finance (3.2%); Asian Paints (2.9%); Cholamandalam Finance (2.6%)",Very High,Comprehensive Data
Kotak Emerging Equity Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Mid Cap,98.67,23-Nov-2025,Pankaj Tibrewal,30-Mar-2007,₹38456 Cr,0.76%,Nil if redeemed after 1 year; 1% if redeemed within 1 year,₹5000,25.34%,27.12%,30.45%,"Financial Services: 20.5%; Consumer Discretionary: 15.8%; Healthcare: 12.3%; Capital Goods: 11.7%; IT: 10.2%","Max Healthcare (3.9%); Kalyan Jewellers (3.6%); Federal Bank (3.4%); Tube Investments (3.2%); Coforge (3.0%); Persistent Systems (2.8%); Dixon Technologies (2.6%); Oberoi Realty (2.5%); Voltas (2.3%); Trent Ltd (2.2%)",Very High,Comprehensive Data
Mirae Asset Large Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Large Cap,132.89,23-Nov-2025,Neelesh Surana,03-Apr-2008,₹41234 Cr,0.73%,Nil if redeemed after 365 days; 1% if redeemed within 365 days,₹5000,21.67%,18.23%,22.87%,"Financial Services: 31.2%; IT: 16.9%; Oil & Gas: 8.7%; Automobile: 7.9%; Consumer Goods: 6.8%","ICICI Bank (9.5%); HDFC Bank (8.7%); Infosys (6.9%); Reliance Industries (6.4%); Bharti Airtel (5.2%); TCS (4.8%); State Bank of India (4.1%); Axis Bank (3.6%); Larsen & Toubro (3.2%); Bajaj Finance (2.9%)",Very High,Comprehensive Data
Quant Small Cap Fund - Direct Plan - Growth,Quant Mutual Fund,Small Cap,267.45,23-Nov-2025,"Ankit Pande, Vasav Sahgal",21-Nov-2019,₹18567 Cr,0.92%,Nil if redeemed after 1 year; 2% if redeemed within 1 year,₹5000,31.23%,35.67%,42.18%,"Capital Goods: 15.2%; Chemicals: 13.8%; Consumer Discretionary: 11.4%; Healthcare: 10.6%; Financial Services: 9.8%","Signature Global (2.5%); Newgen Software (2.3%); Sobha Ltd (2.2%); Lloyds Metals (2.1%); Hind Copper (2.0%); Varun Beverages (1.9%); Trent Ltd (1.8%); Dixon Technologies (1.7%); Apar Industries (1.6%); Radico Khaitan (1.5%)",Very High,Comprehensive Data
Aditya Birla Sun Life Tax Relief 96 - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,ELSS,56.78,23-Nov-2025,Ajay Garg,01-Jan-2000,₹14892 Cr,0.85%,Nil (Lock-in period of 3 years),₹500,20.45%,18.92%,22.67%,"Financial Services: 27.8%; IT: 14.6%; Healthcare: 9.8%; Consumer Goods: 8.7%; Automobile: 7.9%","HDFC Bank (7.9%); ICICI Bank (6.8%); Infosys (5.9%); Reliance Industries (5.4%); Bajaj Finance (4.2%); TCS (3.9%); Asian Paints (3.4%); Axis Bank (3.1%); Titan Company (2.8%); Maruti Suzuki (2.6%)",Very High,Comprehensive Data
