scheme_name,nav,date,category,source
Nippon India Large Cap Fund - Direct Plan - Growth,52.30,2024-01-15,Large Cap,Fallback Data
Nippon India Small Cap Fund - Direct Plan - Growth,98.75,2024-01-15,Small Cap,Fallback Data
Nippon India Flexi Cap Fund - Direct Plan - Growth,65.20,2024-01-15,Flexi Cap,Fallback Data
Nippon India Multi Cap Fund - Direct Plan - Growth,145.80,2024-01-15,Multi Cap,Fallback Data
Nippon India Balanced Advantage Fund - Direct Plan - Growth,42.15,2024-01-15,Hybrid,Fallback Data
Nippon India Liquid Fund - Direct Plan - Growth,5180.25,2024-01-15,Liquid,Fallback Data
Nippon India Tax Saver (ELSS) Fund - Direct Plan - Growth,76.45,2024-01-15,ELSS,Fallback Data
Nippon India Index Fund - Sensex Plan - Direct Plan - Growth,68.90,2024-01-15,Index,Fallback Data
Nippon India Mid Cap Fund - Direct Plan - Growth,85.60,2024-01-15,Mid Cap,Fallback Data
Nippon India Banking & Financial Services Fund - Direct Plan - Growth,112.40,2024-01-15,Sectoral - Banking,Fallback Data
